UF,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
AC,8,7,5,4,5,5,4,7,3,3,2,2
AL,29,29,29,29,29,14,14,14,10,5,5,5
AM,71,71,63,63,56,47,41,41,41,31,30,22
AP,17,17,17,17,7,4,6,6,6,5,3,3
BA,114,106,100,87,83,88,84,78,82,76,72,68
CE,99,100,98,86,79,49,40,45,44,40,36,36
DF,88,88,88,87,81,81,76,73,80,93,88,87
ES,78,74,72,69,61,53,51,47,47,45,48,48
GO,116,117,113,99,99,94,86,80,74,76,73,67
MA,62,62,51,46,34,33,21,20,17,11,18,28
MG,269,257,259,252,241,217,213,197,184,191,206,198
MS,28,28,28,30,29,28,24,23,17,17,20,20
MT,53,46,45,42,36,36,27,27,27,28,29,28
PA,83,66,66,66,52,48,41,32,28,21,21,15
PB,40,38,37,34,26,26,26,25,20,20,31,29
PE,116,96,97,88,89,81,79,59,54,53,60,55
PI,30,26,26,26,14,10,10,10,10,10,11,11
PR,200,192,179,169,178,171,160,152,145,141,134,120
RJ,373,354,366,353,325,312,307,297,269,254,306,296
RN,31,31,31,31,31,31,19,19,19,14,15,15
RO,19,18,15,16,16,13,13,12,12,12,12,6
RR,15,15,15,15,6,6,6,6,5,5,2,2
RS,177,176,161,156,163,171,163,151,142,139,157,141
SC,148,133,130,122,114,113,109,96,83,72,82,82
SE,24,25,21,19,19,19,14,14,14,14,10,15
SP,1.041,1.033,1.031,986,947,915,869,812,770,730,800,753
TO,18,18,17,13,13,13,14,9,3,4,7,7
